cond,baseline,pre_mean,pre_cv,pre_deltapeak,train_mean,train_min,train_max
固形摂取,99.0,119.9111111111111,12.01936433052029,53.66666666666666,135.1282051282051,119.0,152.66666666666666
スムージー摂取,159.33333333333334,187.0222222222222,16.548507736051324,80.33333333333329,222.05128205128204,207.0,244.33333333333331
おにぎり＋スムージー,164.33333333333334,199.79999999999998,10.060884115027386,70.66666666666666,220.1282051282051,182.66666666666663,242.33333333333331
おにぎり＋糖質減,166.0,194.88888888888886,8.503036924248768,52.333333333333314,229.3846153846154,195.0,250.33333333333331
