time,固形摂取,スムージー摂取,おにぎり＋スムージー,おにぎり＋糖質減
08:00:00,99.0,159.33333333333334,164.33333333333334,166.0
08:15:00,112.0,163.0,169.33333333333334,183.66666666666666
08:30:00,133.33333333333334,182.0,208.66666666666666,217.0
08:45:00,129.0,202.66666666666666,235.0,197.0
09:00:00,113.0,193.66666666666666,225.66666666666666,193.66666666666666
09:15:00,105.33333333333333,163.66666666666666,219.33333333333334,193.66666666666666
09:30:00,108.66666666666667,149.0,207.33333333333334,198.66666666666666
09:45:00,108.66666666666667,148.66666666666666,212.33333333333334,185.33333333333334
10:00:00,106.0,154.66666666666666,207.0,174.33333333333334
10:15:00,120.0,179.33333333333334,191.33333333333334,172.33333333333334
10:30:00,130.33333333333334,194.33333333333334,188.0,199.66666666666666
10:45:00,125.33333333333333,226.0,185.0,217.66666666666666
11:00:00,120.33333333333333,226.33333333333334,182.66666666666666,211.0
11:15:00,135.0,223.0,193.0,195.0
11:30:00,152.66666666666666,239.66666666666666,208.0,218.33333333333334
11:45:00,143.0,244.33333333333334,226.33333333333334,235.0
12:00:00,139.0,213.66666666666666,229.0,237.0
12:15:00,129.66666666666666,225.0,227.33333333333334,225.66666666666666
12:30:00,119.0,218.33333333333334,231.33333333333334,226.66666666666666
12:45:00,131.0,218.66666666666666,242.33333333333334,241.0
13:00:00,143.0,224.66666666666666,236.66666666666666,245.0
13:15:00,136.66666666666666,207.0,224.66666666666666,242.33333333333334
13:30:00,138.0,212.33333333333334,219.33333333333334,250.33333333333334
13:45:00,140.33333333333334,222.66666666666666,218.66666666666666,241.0
14:00:00,129.0,211.0,222.33333333333334,213.66666666666666
