,baseline,peak,delta_peak,mean_6h,sd_6h,cv_pct,auc_raw_6h,iauc_6h,auc_raw_2h,iauc_2h,late_mean_4_6h
固形摂取,99.0,152.66666666666666,53.66666666666666,125.89333333333332,14.09876537804588,11.198976947187472,45500.0,9860.0,13687.5,1807.5000000000005,133.96296296296293
スムージー摂取,159.33333333333334,244.33333333333331,84.99999999999997,200.12,29.46904842058553,14.725688797014556,72267.5,15292.499999999993,20395.0,1624.999999999998,217.037037037037
おにぎり＋スムージー,164.33333333333334,242.33333333333331,77.99999999999997,211.0,21.27400604807033,10.082467321360346,76225.0,17064.999999999993,24950.0,5229.999999999996,227.96296296296293
おにぎり＋糖質減,166.0,250.33333333333331,84.33333333333331,211.24,24.95097415154589,11.81167115676287,76367.5,16607.499999999993,23087.5,3167.4999999999977,235.85185185185185
