condition,起床時コンディション,睡眠の質,睡眠時間,RPE,爆発力,持久力,運動後疲労
固形,2.0,2.0,7.0,6.666666666666667,4.0,3.0,3.3333333333333335
スムージー,2.3333333333333335,2.0,7.0,5.666666666666667,3.6666666666666665,3.6666666666666665,2.6666666666666665
おにぎり+スムージー,2.3333333333333335,2.0,7.0,5.5,3.5,3.8333333333333335,3.1666666666666665
おにぎり+糖質減,2.6666666666666665,2.6666666666666665,6.666666666666667,6.333333333333333,3.3333333333333335,2.3333333333333335,3.3333333333333335
